title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,Symbol
"Market Rallies Into Fed; Futures Fall As AMD, Snap Guide Lower",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-rallies-into-fed-rate-hike-amd-snap-key-movers-late/,2023-01-31 23:33:00,"[""Investor's Business Daily"", 'ED CARSON']","Dow Jones Futures: Market Rallies Into Fed Rate Hike. AMD, Snap ... Investor's Business Daily ...",https://www.investors.com/wp-content/uploads/2022/06/Stock-jeromepowell2022-02-gov.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.928139'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.999483'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.083419,Neutral,"[{'ticker': 'XPEV', 'relevance_score': '0.075082', 'ticker_sentiment_score': '-0.030595', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.050096', 'ticker_sentiment_score': '0.07637', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.174047', 'ticker_sentiment_score': '-0.041645', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.149501', 'ticker_sentiment_score': '-0.002622', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.075082', 'ticker_sentiment_score': '0.077706', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ANET', 'relevance_score': '0.099995', 'ticker_sentiment_score': '0.024591', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PSTG', 'relevance_score': '0.075082', 'ticker_sentiment_score': '0.066586', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.174047', 'ticker_sentiment_score': '0.004377', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ETSY', 'relevance_score': '0.099995', 'ticker_sentiment_score': '0.024591', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NIO', 'relevance_score': '0.075082', 'ticker_sentiment_score': '-0.030595', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMD', 'relevance_score': '0.246582', 'ticker_sentiment_score': '0.028461', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PINS', 'relevance_score': '0.149501', 'ticker_sentiment_score': '-0.103899', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LI', 'relevance_score': '0.075082', 'ticker_sentiment_score': '-0.030595', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.050096', 'ticker_sentiment_score': '0.07637', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Snap Quarterly Results Miss On Earnings, Match Revenue Estimates",https://www.investors.com/news/technology/snap-stock-near-lows-ahead-of-earnings-report/,2023-01-31 22:06:00,"['BRIAN DEAGON', ""Investor's Business Daily""]",Snap Stock Dives On Quarterly Earnings Reports | Investor's ... Investor's Business Daily ...,https://www.investors.com/wp-content/uploads/2022/02/Stock-snapchat-04-adobe.jpg,Investors Business Daily,n/a,www.investors.com,"[{'topic': 'Earnings', 'relevance_score': '0.997902'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}]",-0.019676,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.218817', 'ticker_sentiment_score': '-0.312493', 'ticker_sentiment_label': 'Somewhat-Bearish'}]",AAPL
Fed games,https://www.reuters.com/markets/us/global-markets-view-usa-pix-2023-01-31/,2023-01-31 21:48:00,['Stephen Culp'],"Feb 1 ( Reuters ) - A look at the day ahead in markets from Stephen Culp, New York stock market reporter. Asian stocks are primed for a green Wednesday on the heels of a broad rally on Wall Street, as a slew of economic data suggested the Federal Reserve's restrictive monetary policy is working ...",https://graphics.reuters.com/CANADA-CENBANK/zjvqjebewpx/chart_eikon.jpg,Reuters,Markets,www.reuters.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.9545'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.023802,Neutral,"[{'ticker': 'GOOG', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GM', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.148732', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.148732', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UPS', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.148732', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BGXX', 'relevance_score': '0.108958', 'ticker_sentiment_score': '0.322037', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Big Tech Earnings Preview: Time to Buy Amazon or Alphabet Stock?,https://www.zacks.com/stock/news/2047238/big-tech-earnings-preview-time-to-buy-amazon-or-alphabet-stock,2023-01-31 20:48:00,['Zacks Investment Research'],These tech giants certainly trade attractively relative to their past but more near-term upside will largely depend upon the guidance and outlook they offer during the quarterly reports.,https://staticx-tuner.zacks.com/images/default_article_images/default346.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}, {'topic': 'Earnings', 'relevance_score': '0.999483'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.196172,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.089965', 'ticker_sentiment_score': '0.139265', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.13459', 'ticker_sentiment_score': '0.021566', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.089965', 'ticker_sentiment_score': '0.04445', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.571033', 'ticker_sentiment_score': '0.282313', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
"Amazon, Apple, Microsoft set records with their spending on Washington lobbying",https://www.marketwatch.com/story/amazon-apple-microsoft-set-records-with-their-spending-on-washington-lobbying-11675195030,2023-01-31 19:57:00,['Victor Reklaitis'],"Amazon, Apple and Microsoft set records in their disclosed annual spending on Washington lobbying last year, as Facebook and Google's parents also spent big.",https://images.mktw.net/im-471285/social,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}]",-0.110523,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.514619', 'ticker_sentiment_score': '-0.26094', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.514619', 'ticker_sentiment_score': '-0.26094', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.837089', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]",AAPL
What Happens This Week Will Lead the Market for 2023,https://www.zacks.com/stock/news/2047236/what-happens-this-week-will-lead-the-market-for-2023,2023-01-31 19:41:00,['Zacks Investment Research'],"From big tech earnings to employment data and interest rate decisions, this is an extremely significant week for Wall Street ...",https://staticx-tuner.zacks.com/images/articles/main/a4/214.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.2'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.2'}, {'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.9545'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}, {'topic': 'Earnings', 'relevance_score': '0.999998'}]",0.113846,Neutral,"[{'ticker': 'AON', 'relevance_score': '0.03443', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.103035', 'ticker_sentiment_score': '0.076921', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.103035', 'ticker_sentiment_score': '0.045312', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MDNDF', 'relevance_score': '0.068797', 'ticker_sentiment_score': '0.003026', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.103035', 'ticker_sentiment_score': '0.070616', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.170878', 'ticker_sentiment_score': '0.084289', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.137083', 'ticker_sentiment_score': '0.074607', 'ticker_sentiment_label': 'Neutral'}]",AAPL
Stocks sizzled in January as rate hike and inflation fears ebbed | Business,http://edition.cnn.com/2023/01/31/investing/dow-stock-market-today-january,2023-01-31 19:15:00,['Paul R. La Monica'],Stocks sizzled in January as rate hike and inflation fears ebbed CNN International ...,"https://media.cnn.com/api/v1/images/stellar/prod/230130170607-workers-wages-fourth-quarter.jpg?c=16x9&q=h_144,w_256,c_fill",CNN,Markets,edition.cnn.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Earnings', 'relevance_score': '0.682689'}]",-0.109015,Neutral,"[{'ticker': 'GOOG', 'relevance_score': '0.071357', 'ticker_sentiment_score': '0.019179', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.142144', 'ticker_sentiment_score': '0.023808', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.142144', 'ticker_sentiment_score': '0.023808', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.142144', 'ticker_sentiment_score': '0.105752', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WBD', 'relevance_score': '0.071357', 'ticker_sentiment_score': '-0.168107', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MDT', 'relevance_score': '0.142144', 'ticker_sentiment_score': '0.105752', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.142144', 'ticker_sentiment_score': '0.023808', 'ticker_sentiment_label': 'Neutral'}]",AAPL
The 10 Best Closed-End Funds  ( CEFs )  to Buy Now,https://www.kiplinger.com/investing/cefs/best-closed-end-funds,2023-01-31 18:52:36,"['Charles Lewis Sizemore', 'CFA']","If someone offered to sell you a dollar for 90 cents â€¦ well, you'd probably think it was too good to be true. Yet these are exactly the kinds of opportunities that arise in the market's best closed-end funds ( CEFs ) . CEFs are a type of investment fund, and in fact, they are older than ...",https://cdn.mos.cms.futurecdn.net/2ASap9KfLUQQ2gRfW2TJZG-415-80.jpg,Kiplinger,GoogleRSS,www.kiplinger.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.962106'}]",0.342761,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.175221', 'ticker_sentiment_score': '0.214473', 'ticker_sentiment_label': 'Somewhat-Bullish'}]",AAPL
Tesla & Supercharged Electric Vehicle ETFs in Focus,https://www.zacks.com/stock/news/2047222/tesla-supercharged-electric-vehicle-etfs-in-focus,2023-01-31 18:45:00,['Zacks Investment Research'],We highlight 3 EV ETFs that are gaining from Tesla's sizzling rally ...,https://staticx-tuner.zacks.com/images/default_article_images/default179.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.839681'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.045169,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.252987', 'ticker_sentiment_score': '0.233336', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LCID', 'relevance_score': '0.371523', 'ticker_sentiment_score': '-0.113748', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.252987', 'ticker_sentiment_score': '0.233336', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.252987', 'ticker_sentiment_score': '0.233336', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.252987', 'ticker_sentiment_score': '0.119253', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'F', 'relevance_score': '0.252987', 'ticker_sentiment_score': '-0.338299', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'RIVN', 'relevance_score': '0.252987', 'ticker_sentiment_score': '0.021167', 'ticker_sentiment_label': 'Neutral'}]",AAPL
EU studying whether Big Tech should pay network costs -EU document,https://www.reuters.com/business/media-telecom/eu-studying-whether-big-tech-should-pay-network-costs-eu-document-2023-01-31/,2023-01-31 18:17:00,['Foo Yun Chee'],EU studying whether Big Tech should pay network costs -EU ... ...,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/6TXEVUIMORJDLI5UPBGZOJ6KEQ.jpg,Reuters,Business,www.reuters.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.137006,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.108518', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NFLX', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.108518', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.047114', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.108518', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TEF', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.108518', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TIIAY', 'relevance_score': '0.103778', 'ticker_sentiment_score': '0.108518', 'ticker_sentiment_label': 'Neutral'}]",AAPL
Will Lower Ad Revenues Hurt Meta Platforms'  ( META )  Q4 Earnings?,https://www.zacks.com/stock/news/2047207/will-lower-ad-revenues-hurt-meta-platforms-meta-q4-earnings,2023-01-31 17:48:00,['Zacks Investment Research'],Meta Platforms' (META) fourth-quarter 2022 earnings are expected to have been affected by the ad revenue business slowdown and adverse macroeconomic conditions.,https://staticx-tuner.zacks.com/images/articles/main/49/74.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.95493'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.104939,Neutral,"[{'ticker': 'AMD', 'relevance_score': '0.173333', 'ticker_sentiment_score': '0.238145', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.058188', 'ticker_sentiment_score': '-0.010035', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.284861', 'ticker_sentiment_score': '0.189896', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.173333', 'ticker_sentiment_score': '0.224295', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.116067', 'ticker_sentiment_score': '-0.011691', 'ticker_sentiment_label': 'Neutral'}]",AAPL
"Q4 Earnings Season Scorecard and Analyst Reports for Apple, Meta & Mastercard",https://www.zacks.com/research-daily/2046697/q4-earnings-season-scorecard-and-analyst-reports-for-apple-meta-mastercard,2023-01-31 17:41:00,['Zacks Investment Research'],"Today's Research Daily features new research reports on 16 major stocks, including Apple Inc. (AAPL), Meta Platforms, Inc. (META) and Mastercard Incorporated (MA).",https://staticx-tuner.zacks.com/images/default_article_images/default345.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Earnings', 'relevance_score': '0.999999'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.021779,Neutral,"[{'ticker': 'CVS', 'relevance_score': '0.085782', 'ticker_sentiment_score': '0.027505', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.212301', 'ticker_sentiment_score': '0.0498', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.253426', 'ticker_sentiment_score': '0.057294', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMP', 'relevance_score': '0.085782', 'ticker_sentiment_score': '0.027505', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MA', 'relevance_score': '0.128363', 'ticker_sentiment_score': '0.035499', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ELV', 'relevance_score': '0.085782', 'ticker_sentiment_score': '0.027505', 'ticker_sentiment_label': 'Neutral'}]",AAPL
Apple  ( AAPL )  to Report Q1 Earnings: What's in the Offing?,https://www.zacks.com/stock/news/2047189/apple-aapl-to-report-q1-earnings-whats-in-the-offing,2023-01-31 17:27:00,['Zacks Investment Research'],"Apple's (AAPL) first-quarter fiscal 2023 earnings are likely to have suffered from disruptions at its China partner Foxconn's factory in Zhengzhou, as well as the shrinking demand for iPhone.",https://staticx-tuner.zacks.com/images/articles/main/24/52.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.986564'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}]",0.153556,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.170475', 'ticker_sentiment_score': '0.142493', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.937963', 'ticker_sentiment_score': '0.274043', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.170475', 'ticker_sentiment_score': '0.142493', 'ticker_sentiment_label': 'Neutral'}]",AAPL
